category,case_number
DRUG,CR-23-679271-A
DRUG,CR-23-679281-A
DRUG,CR-23-679282-A
DRUG,CR-23-679296-A
DRUG,CR-23-679301-A
DRUG,CR-23-679306-A
DRUG,CR-23-679310-A
DRUG,CR-23-679312-A
DRUG,CR-23-679318-A
DRUG,CR-23-679321-A
DRUG,CR-23-679326-A
DRUG,CR-23-679328-A
DRUG,CR-23-679329-A
DRUG,CR-23-679330-A
DRUG,CR-23-679333-A
DRUG,CR-23-679346-A
DRUG,CR-23-679349-A
DRUG,CR-23-679362-A
DRUG,CR-23-679371-A
DRUG,CR-23-679376-A
DRUG,CR-23-679427-A
DRUG,CR-23-679460-A
DRUG,CR-23-679461-A
DRUG,CR-23-679484-A
DRUG,CR-23-679490-A
DRUG,CR-23-679491-A
DRUG,CR-23-679494-A
DRUG,CR-23-679509-A
DRUG,CR-23-679515-A
DRUG,CR-23-679516-A
DRUG,CR-23-679531-A
DRUG,CR-23-679533-A
DRUG,CR-23-679535-A
DRUG,CR-23-679545-A
DRUG,CR-23-679551-A
DRUG,CR-23-679557-A
DRUG,CR-23-679560-A
DRUG,CR-23-679569-A
DRUG,CR-23-679584-A
DRUG,CR-23-679600-A
DRUG,CR-23-679602-A
DRUG,CR-23-679612-A
DRUG,CR-23-679616-A
DRUG,CR-23-679627-A
DRUG,CR-23-679628-A
DRUG,CR-23-679630-A
DRUG,CR-23-679643-A
DRUG,CR-23-679647-A
DRUG,CR-23-679651-A
DRUG,CR-23-679656-A
DRUG,CR-23-679661-A
DRUG,CR-23-679662-A
DRUG,CR-23-679663-A
DRUG,CR-23-679665-A
DRUG,CR-23-679667-A
DRUG,CR-23-679668-A
DRUG,CR-23-679686-A
DRUG,CR-23-679687-A
DRUG,CR-23-679690-A
DRUG,CR-23-679694-A
DRUG,CR-23-679697-A
DRUG,CR-23-679698-A
DRUG,CR-23-679700-A
DRUG,CR-23-679702-A
DRUG,CR-23-679714-A
DRUG,CR-23-679715-A
DRUG,CR-23-679720-A
DRUG,CR-23-679745-A
DRUG,CR-23-679762-A
DRUG,CR-23-679777-A
DRUG,CR-23-679792-A
DRUG,CR-23-679798-A
DRUG,CR-23-679802-A
DRUG,CR-23-679809-A
DRUG,CR-23-679822-A
DRUG,CR-23-679825-A
DRUG,CR-23-679840-A
DRUG,CR-23-679867-A
DRUG,CR-23-679869-A
DRUG,CR-23-679870-A
DRUG,CR-23-679876-A
DRUG,CR-23-679878-A
DRUG,CR-23-679892-A
DRUG,CR-23-679893-A
DRUG,CR-23-679894-A
DRUG,CR-23-679896-A
DRUG,CR-23-679911-A
DRUG,CR-23-679913-A
DRUG,CR-23-679918-A
DRUG,CR-23-679920-A
DRUG,CR-23-679922-A
DRUG,CR-23-679926-A
DRUG,CR-23-679943-A
DRUG,CR-23-679944-A
DRUG,CR-23-679949-A
DRUG,CR-23-679957-A
DRUG,CR-23-679961-A
DRUG,CR-23-679981-A
DRUG,CR-23-680011-A
DRUG,CR-23-680012-A
DRUG,CR-23-680015-A
DRUG,CR-23-680049-A
DRUG,CR-23-680061-A
DRUG,CR-23-680066-A
DRUG,CR-23-680069-A
DRUG,CR-23-680120-A
DRUG,CR-23-680123-A
DRUG,CR-23-680124-A
DRUG,CR-23-680126-A
DRUG,CR-23-680138-A
DRUG,CR-23-680149-A
DRUG,CR-23-680160-A
DRUG,CR-23-680171-A
DRUG,CR-23-680180-A
DRUG,CR-23-680181-A
DRUG,CR-23-680184-A
DRUG,CR-23-680205-A
DRUG,CR-23-680209-A
DRUG,CR-23-680219-A
DRUG,CR-23-680226-A
DRUG,CR-23-680228-A
DRUG,CR-23-680229-A
