participant,cases,wins,losses
"EDWARD F. BORKOWSKI, JR.",5,1,0
G MICHAEL GOINS,5,1,0
KEVIN T MCFAUL,5,0,0
LAWRENCE R FLOYD,5,2,0
LIAM P. BYRNE,5,0,1
LINDA HRICKO,5,0,0
MAUREEN DIXON,5,0,0
MICHAEL G. POLITO,5,1,0
SCOTT CLAUSSEN,5,1,0
AMIR GHOLIZADEH,4,2,0
BRANT N DICHIERA,4,0,0
BRIAN R MCGRAW,4,0,0
BRION P. STENGER,4,1,0
CATHERINE MEEHAN,4,0,0
DONALD C WILLIAMS,4,1,0
FRED D MIDDLETON,4,1,0
HECTOR G MARTINEZ,4,0,1
JAMES E VALENTINE,4,0,0
JOHN T PARIS,4,0,0
KIRAN KOVOOR MIKHAIEL,4,0,0
LISA M RANKIN,4,0,0
MATTHEW C. BANGERTER,4,0,0
PATRICK S LAVELLE,4,1,0
RAEMARIE C RINI,4,0,0
ROBERT BLANSHARD MCCALEB,4,3,0
THOMAS J KELLY,4,1,0
/ PRO SE,3,0,0
AARON T. BAKER,3,2,1
BRAD S WOLFE,3,0,0
GINA M CRAWFORD,3,0,0
HARVEY B BRUNER,3,1,0
JAMES E KOVAC,3,0,0
JAMES R WILLIS,3,0,0
JAMES S JONES,3,0,0
JOSEPH A PFUNDSTEIN,3,1,0
JUSTIN KERR,3,1,0
KIMBERLY KENDALL CORRAL,3,0,1
LEIF CHRISTMAN,3,3,0
MARK E. PORTER,3,1,0
MARK IMMORMINO,3,0,0
MATTHEW E. STERATORE,3,1,0
PAUL M SHIPP,3,0,0
PHILIP J KOREY,3,1,1
RICK L. FERRARA,3,2,0
ROBERT BOTNICK,3,0,0
ROBERT SMITH,3,0,0
SAMUEL R. SMITH,3,0,0
STEPHANIE MCNEAL,3,0,0
STEVEN GAULDING,3,1,0
WILLIAM D MASON,3,0,0
ALEXANDER UGOLINI,2,0,0
AMANDA M HALL-BIZUB,2,0,0
ANNA MARIE DEGARMO,2,0,0
ARLEESHA WILSON,2,0,0
ASHLEY CHRISTINE STEBBINS,2,1,0
BRITTANY ALDRICH,2,1,0
"CARLOS KIRT JOHNSON, JR.",2,0,0
CHARLES E FEUER,2,0,1
DEAN A COLOVAS,2,0,0
DEREK SMITH,2,0,0
EDWARD M HEINDEL,2,0,0
ELIZABETH A MEERS,2,0,0
GEORGE E. KENNETT,2,0,0
J MICHAEL GOLDBERG,2,0,0
JAMES A HOFELICH,2,0,0
JAMES L HARDIMAN,2,0,0
JEFFERY S BROWN,2,1,0
JOCELYN CONWELL,2,0,0
"JOHN D. MIZANIN, JR.",2,1,0
JOHN E. JACKSON,2,0,0
JONATHAN A. BARTELL,2,0,0
JUSTIN WEATHERLY,2,0,0
KATELYN PRUCHNICKI,2,0,1
MADELYN J. GRANT,2,1,0
MEGAN WALSH,2,0,0
MICHAEL J. KINLIN,2,0,0
MORGAN R CARUSO,2,0,0
NEIL W SIEGEL,2,1,1
NOELLE A POWELL,2,0,0
PATRICK D QUINN,2,0,0
PATRICK DICHIRO,2,0,0
RACHEL A KOPEC,2,0,0
RACHELLE M. SMITH,2,0,0
ROBERT G WALTON,2,0,0
ROBERT H WILLIAMS,2,0,0
"STANLEY JACKSON, JR.",2,1,0
STEPHANIE ANDERSON,2,0,0
STEPHEN MCGOWAN,2,1,0
TIMOTHY J RILEY,2,0,0
TYRESHA BROWN-O'NEAL,2,1,0
VINCENT I. PACETTI,2,1,0
WILLIAM LIVINGSTON,2,0,0
WILLIAM NORMAN,2,0,1
ZEN CANADAY,2,0,0
A DALE NATICCHIA,1,0,0
