case_key,earliest_file,latest_file,earliest_count,latest_count,delta,sample_latest
2023-686951,2023-686951_20251111_140100.json,2023-686951_20251111_140100.json,3,3,0,
2023-679432,2023-679432_20251117_073309.json,2023-679432_20251117_073309.json,4,4,0,"2903.11.A(2) | 2903.13.A | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685997,2023-685997_20251111_123543.json,2023-685997_20251111_123543.json,3,3,0,
2023-685154,2023-685154_20251118_180449.json,2023-685154_20251118_180449.json,4,4,0,"2925.03.A(2) | 2925.11.A | 2923.24.A | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685634,2023-685634_20251118_192553.json,2023-685634_20251118_192553.json,6,6,0,2907.03.A(2) | 2907.02.A(2) | 2907.02.A(2) | 2907.05.A(1) | 2907.05.A(1)
2023-677577,2023-677577_20251116_102320.json,2023-677577_20251116_102320.json,7,7,0,2907.02.A(2) | 2907.02.A(1)(C) | 2907.03.A(5) | 2907.04.A | 4301.69.A
2023-687745,2023-687745_20251119_020728.json,2023-687745_20251119_020728.json,3,3,0,"2923.12.A(2) | 2923.16.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679787,2023-679787_20251110_201557.json,2023-679787_20251110_201557.json,2,2,0,
2023-681470,2023-681470_20251117_120154.json,2023-681470_20251117_120154.json,7,7,0,2903.02.A | 2923.162.(A)(3) | 2903.11.A(1) | 2903.11.A(2) | 2923.161.A(1)
2023-680482,2023-680482_20251111_044236.json,2023-680482_20251111_044236.json,3,3,0,
2023-687173,2023-687173_20251119_000859.json,2023-687173_20251119_000859.json,2,2,0,"2923.13.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678067,2023-678067_20251116_150317.json,2023-678067_20251116_150317.json,4,4,0,"2903.11.A(1) | 2905.02.A(1) | 2919.25.A | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-687706,2023-687706_20251119_015947.json,2023-687706_20251119_015947.json,3,3,0,"2913.02.A(1) | 2913.31.A(3) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685741,2023-685741_20251118_194938.json,2023-685741_20251118_194938.json,3,3,0,"2911.211.(A)(1) | 2909.06.A(1) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-680860,2023-680860_20251111_051606.json,2023-680860_20251111_051606.json,3,3,0,
2023-683452,2023-683452_20251111_085847.json,2023-683452_20251111_085847.json,3,3,0,
2023-680177,2023-680177_20251110_142748.json,2023-680177_20251110_142748.json,3,3,0,
2023-678539,2023-678539_20251116_183934.json,2023-678539_20251116_183934.json,2,2,0,"2909.15.H | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678642,2023-678642_20251116_192936.json,2023-678642_20251116_192936.json,4,4,0,"2911.12.B | 2903.21.A | 2919.25.C | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682738,2023-682738_20251118_112603.json,2023-682738_20251118_112603.json,5,5,0,"2903.11.A(1) | 2919.25.A | 2909.04.A(1) | 2919.22.A | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679324,2023-679324_20251110_193107.json,2023-679324_20251110_193107.json,3,3,0,
2023-678936,2023-678936_20251110_185913.json,2023-678936_20251110_185913.json,3,3,0,
2023-678226,2023-678226_20251116_162428.json,2023-678226_20251116_162428.json,3,3,0,"2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678360,2023-678360_20251116_170610.json,2023-678360_20251116_170610.json,2,2,0,"2921.04.B(1) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678373,2023-678373_20251116_171429.json,2023-678373_20251116_171429.json,4,4,0,"2903.11.A(1) | 2903.11.A(2) | 2923.162.C(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679974,2023-679974_20251110_203505.json,2023-679974_20251110_203505.json,3,3,0,
2023-685840,2023-685840_20251111_122217.json,2023-685840_20251111_122217.json,3,3,0,
2023-681612,2023-681612_20251117_122710.json,2023-681612_20251117_122710.json,8,8,0,2903.18.(B)(2) | 2903.18.(B)(3) | 2919.25.A | 2919.22.A | 2919.22.A
2023-685005,2023-685005_20251111_111703.json,2023-685005_20251111_111703.json,3,3,0,
2023-683391,2023-683391_20251111_085035.json,2023-683391_20251111_085035.json,3,3,0,
2023-680982,2023-680982_20251111_052358.json,2023-680982_20251111_052358.json,3,3,0,
2023-679736,2023-679736_20251110_140430.json,2023-679736_20251110_140430.json,3,3,0,
2023-683749,2023-683749_20251118_140940.json,2023-683749_20251118_140940.json,4,4,0,"2903.18.(B)(2) | 2903.18.(B)(3) | 2919.25.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-678749,2023-678749_20251116_202040.json,2023-678749_20251116_202040.json,3,3,0,"2925.11.A | 2925.11.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-683090,2023-683090_20251111_082348.json,2023-683090_20251111_082348.json,3,3,0,
2023-682284,2023-682284_20251117_141940.json,2023-682284_20251117_141940.json,6,6,0,2905.02.A(1) | 2907.02.A(2) | 2903.18.(B)(3) | 2903.18.(B)(2) | 2919.25.A
2023-680841,2023-680841_20251117_103300.json,2023-680841_20251117_103300.json,2,2,0,"2903.13.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685436,2023-685436_20251111_115003.json,2023-685436_20251111_115003.json,3,3,0,
2023-685633,2023-685633_20251118_192553.json,2023-685633_20251118_192553.json,5,5,0,"2921.331.B | 2921.331.B | 2913.03.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-684807,2023-684807_20251118_165927.json,2023-684807_20251118_165927.json,6,6,0,2921.331.B | 2921.331.B | 2921.331.B | 2903.08.A(2)(B) | 2913.51.A
2023-679682,2023-679682_20251110_140042.json,2023-679682_20251110_140042.json,3,3,0,
2023-677839,2023-677839_20251116_125414.json,2023-677839_20251116_125414.json,3,3,0,"2905.02.A(2) | 2907.05.A(4) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-684475,2023-684475_20251111_102629.json,2023-684475_20251111_102629.json,3,3,0,
2023-679693,2023-679693_20251110_200843.json,2023-679693_20251110_200843.json,3,3,0,
2023-684608,2023-684608_20251118_163930.json,2023-684608_20251118_163930.json,6,6,0,2903.11.A(1) | 2905.02.A(1) | 2903.18.(B)(2) | 2903.18.(B)(3) | 2919.25.A
2023-677952,2023-677952_20251116_135448.json,2023-677952_20251116_135448.json,4,4,0,"2903.11.A(2) | 2923.13.A(3) | 2919.25.A | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-679022,2023-679022_20251110_190501.json,2023-679022_20251110_190501.json,3,3,0,
2023-678720,2023-678720_20251116_200844.json,2023-678720_20251116_200844.json,3,3,0,"2923.12.(A)(2) | 2923.16.B | {'type': '10% CASH', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-682612,2023-682612_20251111_074045.json,2023-682612_20251111_074045.json,3,3,0,
2023-685086,2023-685086_20251111_112241.json,2023-685086_20251111_112241.json,3,3,0,
2023-687321,2023-687321_20251119_004134.json,2023-687321_20251119_004134.json,3,3,0,"2913.02.A(1) | 2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-683322,2023-683322_20251111_084610.json,2023-683322_20251111_084610.json,3,3,0,
2023-687084,2023-687084_20251111_141418.json,2023-687084_20251111_141418.json,3,3,0,
2023-681087,2023-681087_20251110_152751.json,2023-681087_20251110_152751.json,3,3,0,
2023-686555,2023-686555_20251118_221839.json,2023-686555_20251118_221839.json,4,4,0,"2903.18.(B)(2) | 2903.18.(B)(3) | 2919.25.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
