case_id,latest_file,deletable_count_or_reason,mutated_count_or_details
CR-23-677964-A,out/2023/2023-677964_20251116_140111.json,[],"[('out/2023/2023-677964_20251110_173154.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:31:54.199300+00:00"" -> ""2025-11-16T14:01:11.650303+00:00""')]"
CR-23-678291-A,out/2023/2023-678291_20251116_164515.json,[],"[('out/2023/2023-678291_20251110_180145.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:01:45.104971+00:00"" -> ""2025-11-16T16:45:15.860791+00:00""')]"
CR-23-678077-A,out/2023/2023-678077_20251116_151131.json,[],"[('out/2023/2023-678077_20251110_174553.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:45:53.765645+00:00"" -> ""2025-11-16T15:11:31.940751+00:00""'), ('out/2023/2023-678077_20251116_151105.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-16T15:11:05.859031+00:00"" -> ""2025-11-16T15:11:31.940751+00:00""')]"
CR-23-679415-A,out/2023/2023-679415_20251117_072932.json,[],"[('out/2023/2023-679415_20251110_193525.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T19:35:28.688724+00:00"" -> ""2025-11-17T07:29:32.162085+00:00""')]"
CR-23-677960-A,out/2023/2023-677960_20251116_135915.json,[],"[('out/2023/2023-677960_20251110_173052.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:30:52.523167+00:00"" -> ""2025-11-16T13:59:15.083444+00:00""'), ('out/2023/2023-677960_20251116_135849.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-16T13:58:49.383391+00:00"" -> ""2025-11-16T13:59:15.083444+00:00""')]"
CR-23-678152-A,out/2023/2023-678152_20251116_155852.json,[],"[('out/2023/2023-678152_20251110_175202.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:52:02.771117+00:00"" -> ""2025-11-16T15:58:52.175432+00:00""')]"
CR-23-679844-A,out/2023/2023-679844_20251117_083022.json,[],"[('out/2023/2023-679844_20251110_141325.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T14:13:25.129649+00:00"" -> ""2025-11-17T08:30:22.288545+00:00""'), ('out/2023/2023-679844_20251110_202220.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T20:22:20.611289+00:00"" -> ""2025-11-17T08:30:22.288545+00:00""')]"
CR-23-678844-A,out/2023/2023-678844_20251116_210749.json,[],"[('out/2023/2023-678844_20251110_185300.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:53:00.763078+00:00"" -> ""2025-11-16T21:07:49.439801+00:00""')]"
CR-23-681336-A,out/2023/2023-681336_20251111_055130.json,[],"[('out/2023/2023-681336_20251110_154249.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T15:42:49.484235+00:00"" -> ""2025-11-11T05:51:30.135258+00:00""')]"
CR-23-684193-A,out/2023/2023-684193_20251118_152608.json,[],"[('out/2023/2023-684193_20251118_152441.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-18T15:24:41.024615+00:00"" -> ""2025-11-18T15:26:08.988613+00:00""')]"
CR-23-680767-A,out/2023/2023-680767_20251111_050711.json,[],"[('out/2023/2023-680767_20251110_150245.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T15:02:45.060813+00:00"" -> ""2025-11-11T05:07:11.271661+00:00""')]"
CR-23-684513-A,out/2023/2023-684513_20251118_162146.json,[],"[('out/2023/2023-684513_20251111_102842.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T10:28:42.732093+00:00"" -> ""2025-11-18T16:21:46.994190+00:00""')]"
CR-23-687069-A,out/2023/2023-687069_20251118_235102.json,[],"[('out/2023/2023-687069_20251111_141306.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T14:13:06.529672+00:00"" -> ""2025-11-18T23:51:02.934355+00:00""')]"
CR-23-686000-A,out/2023/2023-686000_20251118_203344.json,[],"[('out/2023/2023-686000_20251111_123544.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T12:35:44.145116+00:00"" -> ""2025-11-18T20:33:44.609521+00:00""'), ('out/2023/2023-686000_20251118_202950.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-18T20:29:50.229087+00:00"" -> ""2025-11-18T20:33:44.609521+00:00""')]"
