Attorney Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Success Rate
JEFFERY S BROWN,2,2,0,4,2,50.00%
ZACHARY  HUMPHREY,38,46,0,74,85,36.10%
TIMOTHY A HESS,28,31,1,23,52,22.43%
LAUREN  ESARCO,74,90,0,101,156,29.11%
JAMES J HOFELICH,63,74,2,79,138,27.65%
MAXWELL  MARTIN,56,91,0,123,119,36.94%
SCOTT J. FRIEDMAN,15,14,0,9,31,16.67%
ASHLEY L JONES,30,28,0,56,67,37.09%
ANNA MARIE DEGARMO,9,10,0,9,14,27.27%
"JOHN P HILDEBRAND, SR.",10,13,0,17,12,40.48%
BRION P. STENGER,6,8,0,6,8,27.27%
RACHEL M. KALAYJIAN,55,63,0,59,100,26.58%
KELSEY  TAYLOR,67,61,0,78,199,23.08%
TIMOTHY J RILEY,10,13,0,9,17,23.08%
JEFFREY  FROUDE,1,1,0,1,1,33.33%
JASON G HALLER,25,18,0,43,66,33.86%
HECTOR G MARTINEZ,7,7,0,3,11,14.29%
AMIR  GHOLIZADEH,10,8,0,11,20,28.21%
CHRISTINE M JULIAN,61,81,0,64,136,22.78%
JOHN F CORRIGAN,1,1,0,3,1,60.00%
HENRY J HILOW,32,26,0,54,84,32.93%
STEPHEN G ALBENZE,1,1,0,3,1,60.00%
EDWARD R LA RUE,8,9,0,21,16,45.65%
MYRON P WATSON,39,38,0,53,131,23.87%
ROD R MASTANDREA,27,24,1,23,65,21.24%
DIANA G NASSAR,39,67,0,47,75,24.87%
MAUREEN  DIXON,8,12,0,10,14,27.78%
JAMES E KOVAC,4,8,0,1,6,6.67%
VALERIE R ARBIE-MCCLELLAND,54,76,0,72,125,26.37%
MITCHELL J YELSKY,28,31,0,37,55,30.08%
JOHN P LUSKIN,53,56,0,88,130,32.12%
ARLEESHA  WILSON,2,4,0,1,4,11.11%
BRANDON  POKERSNIK,2,2,0,1,3,16.67%
MARK R MARSHALL,16,18,0,12,46,15.79%
GRANT  MACKAY,27,35,0,45,63,31.47%
ROBERT E DAVIS,1,3,0,2,2,28.57%
LESLIE  JOHNS,33,28,0,34,72,25.37%
KEN  RUBENSTEIN,22,22,0,14,40,18.42%
SHIRLEY M ASALE,10,11,0,16,16,37.21%
"JOHN J READY,JR",49,63,0,33,83,18.44%
CARL  SULLIVAN,51,72,0,95,126,32.42%
CHARLES B LAZZARO,15,19,0,15,26,25.00%
ROBERT H WILLIAMS,6,11,0,6,19,16.67%
ROBERT BLANSHARD MCCALEB,6,2,0,15,9,57.69%
JENNIFER  MCTERNAN,29,27,0,28,52,26.17%
AUTUMN  BASIL,36,39,0,63,72,36.21%
SCOTT R HURLEY,44,47,0,50,104,24.88%
JOHN T PARIS,6,10,0,12,7,41.38%
HANS C KUENZI,1,0,0,3,1,75.00%
RAEMARIE C RINI,6,10,0,5,8,21.74%
CHERYL A HAYNES,20,18,0,26,39,31.33%
DEREK  SMITH,5,10,0,18,10,47.37%
KATELYN  PRUCHNICKI,4,2,0,2,17,9.52%
JOSHUA R. BARNHIZER,40,47,0,59,102,28.37%
CHRISTOPHER M KELLEY,42,50,0,46,90,24.73%
PHILIP J KOREY,6,4,0,4,17,16.00%
WILLIAM  NORMAN,15,12,0,12,65,13.48%
LAWRENCE R FLOYD,9,12,0,44,17,60.27%
MICHAEL I MAREIN,43,46,0,64,83,33.16%
JONATHAN A. BARTELL,4,7,0,8,5,40.00%
JAMES E VALENTINE,12,14,1,3,31,8.16%
DEAN A COLOVAS,2,4,0,0,3,0.00%
KENAN E. MACK,22,16,0,18,75,16.51%
MICHAEL T FISHER,9,10,0,12,24,26.09%
WESLEY ALTON JOHNSTON,6,2,0,2,15,10.53%
TYRESHA  BROWN-O'NEAL,7,7,0,10,13,33.33%
ALEXANDER  UGOLINI,18,13,0,27,45,31.76%
FRANCIS  ARINZE,46,40,0,23,122,12.43%
PAUL M SHIPP,5,6,0,5,9,25.00%
JOHN B GIBBONS,38,55,9,46,95,26.83%
D. COLEMAN BOND,1,0,0,0,5,0.00%
DENNIS N LOCONTI,10,9,0,18,22,36.73%
GARY H LEVINE,18,27,0,32,31,35.56%
AARON T. BAKER,4,2,0,9,10,42.86%
STEPHANIE  ANDERSON,2,1,0,1,7,11.11%
AARON  SCHWARTZ,17,18,0,27,46,29.67%
RICHARD A. NEFF,1,2,0,1,1,25.00%
STEVEN L BRADLEY,22,32,2,46,55,35.56%
BENJAMIN  WILLIAMS,12,15,0,7,23,15.56%
GREGORY M TROYAN,18,22,0,16,30,23.53%
