case_number,source_file,charges,events,likely_felony,reason
CR-23-681746-A,2023_cases_comprehensive.csv,"INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T","10/10/2023,PRETRIAL HELD | 09/25/2023,PRETRIAL HELD | 08/28/2023,PRETRIAL HELD | 06/06/2023,INDICTED ORIGINAL | 05/08/2023,ARRESTED",True,indicted
CR-23-681804-A,2023_cases_comprehensive.csv,"INDICT,2923.13.A(1),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,NOLLE | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,NOLLE | INDICT,2903.21.A,AGGRAVATED MENACING,PLD GLTY- N/C - I","02/29/2024,PV HELD | 07/12/2023,PRETRIAL HELD | 06/27/2023,PRETRIAL HELD | 06/16/2023,INDICTED BINDOVER | 06/06/2023,BINDOVER CIF#CI239273AO | 06/03/2023,ARRESTED",True,indicted
CR-23-681846-A,2023_cases_comprehensive.csv,"INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",DISM OTHER | INDICT,2913.51.A,RSP - MV,DISM OTHER | INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,DISM OTHER | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,DISM OTHER | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER | INDICT,4511.19.A(1)(A),DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL OR DRUGS,DIS","09/20/2024,CASE DISMISSED | 08/29/2024,PRETRIAL HELD | 08/28/2024,PRETRIAL HELD | 08/15/2024,PRETRIAL HELD | 08/12/2024,PRETRIAL HELD | 07/16/2024,PRETRIAL HELD | 06/17/2024,PRETRIAL HELD | 04/22/2024,PRETRIAL HELD | 04/10/2024,PRETRIAL HELD | 03/18/2024,PRETRIAL HELD | 03/04/2024,PRETRIAL HELD | 02/05/2024,PRETRIAL HELD | 01/23/2024,PRETRIAL HELD | 12/06/2023,PRETRIAL HELD | 11/20/2023,PRETRIAL H",True,indicted
CR-23-681909-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2909.05.B(1)(B),VANDALISM,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T | INDICT,2921.33.A,RESISTING ARREST,NOLLE","09/12/2023,PRETRIAL HELD | 09/05/2023,PRETRIAL HELD | 08/22/2023,PRETRIAL HELD | 08/08/2023,PRETRIAL HELD | 07/25/2023,PRETRIAL HELD | 07/11/2023,PRETRIAL HELD | 06/14/2023,INDICTED ORIGINAL | 06/07/2023,ARRESTED",True,indicted
CR-23-681914-A,2023_cases_comprehensive.csv,"INDICT,2911.13.A,BREAKING AND ENTERING,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.13.A,""ATTEMPTED, ASSAULT (PEACE OFFICER)"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.13.A(03),FALSIFICATION,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","11/09/2023,PV HELD | 08/16/2023,PRETRIAL HELD | 08/03/2023,PRETRIAL HELD | 06/15/2023,INDICTED BINDOVER | 06/09/2023,BINDOVER CIF#CI239324AO | 06/07/2023,ARRESTED",True,indicted
CR-23-681927-A,2023_cases_comprehensive.csv,"INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",PLD GLTY- N/C - IND @ P/T | INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",DISMISS P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISMISS P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISMISS P/T | INDICT,2913.02.A(1),THEFT; AGGRAVATED THEFT,DISMISS P/T","06/26/2023,PRETRIAL HELD | 06/20/2023,INDICTED BINDOVER | 06/14/2023,FIRST APPEARANCE | 06/13/2023,CPD EDC SET | 06/09/2023,BINDOVER CIF#CI239550BQ | 05/27/2023,ARRESTED",True,indicted
CR-23-681962-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),FELONIOUS ASSAULT (PEACE OFFICER),NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT (PEACE OFFICER),NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.21.A,AGGRAVATED MENACING,NOLLE | INDICT,2903.21.A,AGGRAVATED MENACING,NOLLE | INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,NOLLE | INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,NOLLE | INDIC","02/28/2024,FINAL PRETRIAL HELD | 10/18/2023,PRETRIAL HELD | 09/20/2023,PRETRIAL HELD | 08/30/2023,PRETRIAL HELD | 08/16/2023,PRETRIAL HELD | 07/25/2023,PRETRIAL HELD | 07/14/2023,INDICTED BINDOVER | 06/15/2023,FIRST APPEARANCE | 06/14/2023,CPD EDC SET | 06/12/2023,BINDOVER CIF#CI239640BQ | 06/09/2023,ARRESTED",True,indicted
CR-23-681988-B,2023_cases_comprehensive.csv,"INDICT,2923.162.A(3),""ATTEMPTED, DISCHARGE OF FIREARM ON OR NEAR PROHIBITED PREMISES"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,PLD GLTY- N/C - IND @ P/T | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,NOLLE | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/","07/16/2025,PV HELD | 06/26/2025,PV HELD | 05/01/2025,PV HELD | 01/31/2025,PV HELD | 12/11/2024,PV HELD | 06/28/2024,PV HELD | 04/12/2024,PV HELD | 12/12/2023,PV HELD | 09/05/2023,FINAL PRETRIAL HELD | 08/29/2023,PRETRIAL HELD | 08/15/2023,PRETRIAL HELD | 08/02/2023,PRETRIAL HELD | 07/17/2023,PRETRIAL HELD | 06/23/2023,INDICTED ORIGINAL | 06/04/2023,ARRESTED",True,indicted
CR-23-681994-A,2023_cases_comprehensive.csv,"INDICT,2923.16.D(1),IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,PLD GLTY- N/C - IND @ P/T | INDICT,4511.19.A(1)(A),DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL OR DRUGS,PLD GLTY- N/C - IND @ P/T | INDICT,4511.19.A(1)(A),D.U.I. (PC),NOLLE | INDICT,2921.33.A,RESISTING ARREST,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","03/12/2024,INTERVENTION IN LIEU | 03/12/2024,INTERVENTION IN LIEU OF CONVICTION | 03/12/2024,PRETRIAL HELD | 02/07/2024,PRETRIAL HELD | 01/29/2024,PRETRIAL HELD | 01/10/2024,PRETRIAL HELD | 12/18/2023,PRETRIAL HELD | 11/28/2023,PRETRIAL HELD | 11/07/2023,PRETRIAL HELD | 07/10/2023,INDICTED BINDOVER | 06/12/2023,BINDOVER CIF#CI239609BQ | 06/09/2023,ARRESTED",True,indicted
CR-23-682011-A,2023_cases_comprehensive.csv,"INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,PLD GLTY- N/C - IND @ P/T | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","07/15/2025,PRETRIAL HELD | 07/09/2025,PRETRIAL HELD | 06/26/2025,PRETRIAL HELD | 06/24/2025,PRETRIAL HELD | 04/09/2025,PRETRIAL HELD | 04/01/2025,PRETRIAL HELD | 03/20/2025,PRETRIAL HELD | 03/06/2025,PRETRIAL HELD | 02/10/2025,PRETRIAL HELD | 01/28/2025,PRETRIAL HELD | 01/23/2025,PRETRIAL HELD | 01/08/2025,PRETRIAL HELD | 12/05/2024,PRETRIAL HELD | 11/14/2024,PRETRIAL HELD | 10/31/2024,PRETRIAL HE",True,indicted
CR-23-682033-A,2023_cases_comprehensive.csv,"INDICT,2909.02.A(2),""ATTEMPTED, AGGRAVATED ARSON"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2909.02.A(2),""ATTEMPTED, AGGRAVATED ARSON"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2909.03.A(1),ARSON,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2909.02.A(1),AGGRAVATED ARSON,NOLLE | INDICT,2909.02.A(2),AGGRAVATED ARSON,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE | INDICT,2909.05.B(1)(B),VANDALISM,","09/11/2023,FINAL PRETRIAL HELD | 08/31/2023,PRETRIAL HELD | 08/30/2023,PRETRIAL HELD | 08/16/2023,PRETRIAL HELD | 08/02/2023,PRETRIAL HELD | 07/21/2023,PRETRIAL HELD | 07/11/2023,PRETRIAL HELD | 06/29/2023,PRETRIAL HELD | 06/14/2023,INDICTED ORIGINAL | 06/07/2023,ARRESTED",True,indicted
CR-23-682068-A,2023_cases_comprehensive.csv,"INDICT,2911.12.B,BURGLARY,NOLLE | INDICT,2903.211.A(1),MENACING BY STALKING,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T","08/01/2023,PRETRIAL HELD | 07/25/2023,PRETRIAL HELD | 07/19/2023,PRETRIAL HELD | 07/07/2023,INDICTED BINDOVER | 06/21/2023,FIRST APPEARANCE | 06/16/2023,CPD EDC SET | 06/14/2023,BINDOVER CIF#CI239375AO | 06/12/2023,ARRESTED",True,indicted
CR-23-682071-A,2023_cases_comprehensive.csv,"INDICT,2913.51.A,RSP - MV,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","09/23/2024,PRETRIAL HELD | 07/31/2024,PRETRIAL HELD | 07/15/2024,PRETRIAL HELD | 06/20/2024,PRETRIAL HELD | 06/05/2024,PRETRIAL HELD | 05/21/2024,PRETRIAL HELD | 05/07/2024,PRETRIAL HELD | 04/11/2024,PRETRIAL HELD | 04/09/2024,PRETRIAL HELD | 03/26/2024,PRETRIAL HELD | 02/28/2024,PRETRIAL HELD | 02/14/2024,PRETRIAL HELD | 01/30/2024,PRETRIAL HELD | 01/16/2024,PRETRIAL HELD | 07/14/2023,INDICTED BI",True,indicted
CR-23-682076-A,2023_cases_comprehensive.csv,"INDICT,2923.13.A(1),HAVING WEAPONS WHILE UNDER DISABILITY,DISM OTHER | INDICT,2913.51.A,RSP - MV,DISM OTHER | INDICT,2913.51.A,RECEIVING STOLEN PROPERTY,DISM OTHER | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER","01/22/2024,CASE DISMISSED | 12/20/2023,PRETRIAL HELD | 11/29/2023,FINAL PRETRIAL HELD | 11/07/2023,PRETRIAL HELD | 10/26/2023,PRETRIAL HELD | 09/19/2023,PRETRIAL HELD | 08/29/2023,PRETRIAL HELD | 07/27/2023,PRETRIAL HELD | 07/11/2023,PRETRIAL HELD | 06/29/2023,INDICTED ORIGINAL | 06/10/2023,ARRESTED",True,indicted
CR-23-682129-A,2023_cases_comprehensive.csv,"INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T","09/13/2023,PRETRIAL HELD | 08/31/2023,PRETRIAL HELD | 08/17/2023,PRETRIAL HELD | 06/30/2023,INDICTED BINDOVER | 06/15/2023,BINDOVER CIF#CI239389AO | 06/13/2023,ARRESTED",True,indicted
CR-23-682134-A,2023_cases_comprehensive.csv,"INDICT,2923.13.A(3),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,NOLLE | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,NOLLE | INDICT,2921.12.A(1),TAMPERING WITH EVIDENCE,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINE","01/13/2025,PRETRIAL HELD | 01/08/2025,PRETRIAL HELD | 12/16/2024,PRETRIAL HELD | 12/02/2024,PRETRIAL HELD | 11/18/2024,PRETRIAL HELD | 11/07/2024,PRETRIAL HELD | 10/24/2024,PRETRIAL HELD | 07/06/2023,INDICTED BINDOVER | 06/15/2023,BINDOVER CIF#CI239391AO | 06/13/2023,ARRESTED",True,indicted
CR-23-682136-A,2023_cases_comprehensive.csv,"INDICT,2923.162.A(3),DISCHARGE OF FIREARM ON OR NEAR PROHIBITED PREMISES,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,""ATTEMPTED, OBSTRUCTING OFFICIAL BUSINESS"",PLD GLTY- N/C LIO-AMEND @ P/T","09/16/2024,PV HELD | 01/18/2024,PRETRIAL HELD | 12/12/2023,PRETRIAL HELD | 11/27/2023,PRETRIAL HELD | 11/07/2023,PRETRIAL HELD | 10/24/2023,PRETRIAL HELD | 10/12/2023,PRETRIAL HELD | 09/28/2023,PRETRIAL HELD | 09/20/2023,PRETRIAL HELD | 09/05/2023,PRETRIAL HELD | 09/01/2023,PRETRIAL HELD | 08/01/2023,INDICTED BINDOVER | 06/15/2023,BINDOVER CIF#CI239382AO | 06/13/2023,ARRESTED",True,indicted
CR-23-682140-A,2023_cases_comprehensive.csv,"INDICT,2921.31,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER","06/22/2023,CASE DISMISSED | 05/25/2023,BINDOVER CIF#CI235866BQ | 02/27/2023,ARRESTED",True,indicted
CR-23-682176-A,2023_cases_comprehensive.csv,"INDICT,2913.49.B(2),IDENTITY FRAUD,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","07/03/2023,INDICTED BINDOVER | 06/17/2023,BINDOVER CIF#CI239803BQ | 06/13/2023,ARRESTED",True,indicted
CR-23-682193-A,2023_cases_comprehensive.csv,"INDICT,2923.13.A(3),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T | INDICT,2923.12.(A)(2),CARRYING CONCEALED WEAPONS,NOLLE | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","08/23/2023,PRETRIAL HELD | 08/07/2023,PRETRIAL HELD | 07/12/2023,INDICTED BINDOVER | 06/20/2023,CPD EDC SET | 06/17/2023,BINDOVER CIF#CI239423AO | 06/15/2023,ARRESTED",True,indicted
CR-23-682204-A,2023_cases_comprehensive.csv,"INDICT,2921.331,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",DISM OTHER | INDICT,2913.51,RECEIVING STOLEN PROPERTY,DISM OTHER | INDICT,2921.31,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER","08/21/2023,CASE DISMISSED | 08/11/2023,CASE DISMISSED | 06/20/2023,BINDOVER CIF#CI239977BQ | 06/18/2023,ARRESTED",True,indicted
CR-23-682210-A,2023_cases_comprehensive.csv,"INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",PLD GLTY- N/C - IND @ P/T | INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",NOLLE | INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",NOLLE | INDICT,2909.05.B(2),VANDALISM,PLD GLTY- N/C - IND @ P/T | INDICT,2909.05.B(2),VANDALISM,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL ","08/28/2025,PV HELD | 01/27/2025,PV HELD | 05/09/2024,PV HELD | 01/31/2024,PV HELD | 08/17/2023,PRETRIAL HELD | 08/03/2023,PRETRIAL HELD | 07/12/2023,PRETRIAL HELD | 06/21/2023,INDICTED ORIGINAL | 06/12/2023,ARRESTED",True,indicted
CR-23-682213-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.13.A(03),FALSIFICATION,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","11/20/2023,FINAL PRETRIAL HELD | 11/09/2023,PRETRIAL HELD | 10/05/2023,PRETRIAL HELD | 10/02/2023,PRETRIAL HELD | 09/18/2023,PRETRIAL HELD | 09/05/2023,PRETRIAL HELD | 08/16/2023,PRETRIAL HELD | 08/03/2023,PRETRIAL HELD | 07/13/2023,PRETRIAL HELD | 06/30/2023,INDICTED BINDOVER | 06/26/2023,FIRST APPEARANCE | 06/21/2023,CPD EDC SET | 06/20/2023,BINDOVER CIF#CI239456AO | 06/18/2023,ARRESTED",True,indicted
CR-23-682246-A,2023_cases_comprehensive.csv,"INDICT,2925.11.A,DRUG POSSESSION,PLD GLTY- N/C - IND @ P/T | INDICT,2921.13.A(03),FALSIFICATION,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","07/25/2023,PRETRIAL HELD | 07/12/2023,PRETRIAL HELD | 06/27/2023,INDICTED BINDOVER | 06/23/2023,FIRST APPEARANCE | 06/22/2023,CPD EDC SET | 06/21/2023,BINDOVER CIF#CI239992BQ | 06/16/2023,ARRESTED",True,indicted
CR-23-682343-A,2023_cases_comprehensive.csv,"INDICT,2925.11.A,""ATTEMPTED, DRUG POSSESSION"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T","06/26/2023,INDICTED ORIGINAL",True,indicted
CR-23-682348-A,2023_cases_comprehensive.csv,"INDICT,2925.03.A(2),TRAFFICKING OFFENSE,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2925.03.A(2),TRAFFICKING OFFENSE,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2925.03.A(2),TRAFFICKING OFFENSE,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,DISM OTHER | INDICT,2923.12.A(3),CARRYING CON","11/27/2023,CASE DISMISSED | 11/15/2023,PRETRIAL HELD | 11/13/2023,PRETRIAL HELD | 11/07/2023,PRETRIAL HELD | 08/21/2023,INDICTED BINDOVER | 06/27/2023,FIRST APPEARANCE | 06/26/2023,CPD EDC SET | 06/23/2023,BINDOVER CIF#CI230153BR | 06/22/2023,ARRESTED",True,indicted
CR-23-682354-A,2023_cases_comprehensive.csv,"INDICT,2913.49.B(1),IDENTITY FRAUD,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","06/29/2023,INDICTED ORIGINAL | 06/20/2023,ARRESTED",True,indicted
CR-23-682359-A,2023_cases_comprehensive.csv,"INDICT,2921.31.A,""ATTEMPTED, OBSTRUCTING OFFICIAL BUSINESS"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.33.A,RESISTING ARREST,PLD GLTY- N/C - IND @ P/T","11/13/2024,PRETRIAL HELD | 10/22/2024,PRETRIAL HELD | 10/17/2024,PRETRIAL HELD | 06/29/2023,INDICTED BINDOVER | 06/27/2023,FIRST APPEARANCE | 06/26/2023,CPD EDC SET | 06/24/2023,BINDOVER CIF#CI230121BR | 06/22/2023,ARRESTED",True,indicted
CR-23-682365-A,2023_cases_comprehensive.csv,"INDICT,2913.51.A,""ATTEMPTED, RSP - MV"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2913.51.A,""ATTEMPTED, RSP - MV"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,""ATTEMPTED, OBSTRUCTING OFFICIAL BUSINESS"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.24.A,POSSESSING CRIMINAL TOOLS,PLD GLTY- N/C - IND @ P/T | INDICT,2909.06.A(1),CRIMINAL DAMAGING,NOLLE | INDICT,2909.06.A(1),CRIMINAL DAMAGING,NOLLE","12/20/2023,PV HELD | 09/27/2023,PRETRIAL HELD | 09/20/2023,PRETRIAL HELD | 09/14/2023,PRETRIAL HELD | 08/29/2023,PRETRIAL HELD | 08/15/2023,PRETRIAL HELD | 08/01/2023,PRETRIAL HELD | 06/29/2023,INDICTED BINDOVER | 06/28/2023,FIRST APPEARANCE | 06/27/2023,CPD EDC SET | 06/26/2023,BINDOVER CIF#CI230165BR | 06/24/2023,ARRESTED",True,indicted
CR-23-682486-A,2023_cases_comprehensive.csv,"INDICT,2921.12.A(1),TAMPERING WITH EVIDENCE,DISM OTHER | INDICT,2925.12,POSSESSING DRUG ABUSE INSTRUMENTS,DISM OTHER | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER","07/10/2023,CASE DISMISSED | 06/30/2023,CPD EDC SET | 06/28/2023,BINDOVER CIF#CI230203BR | 06/25/2023,ARRESTED",True,indicted
CR-23-682519-A,2023_cases_comprehensive.csv,"INDICT,2925.11.A,""ATTEMPTED, DRUG POSSESSION"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","10/04/2023,PRETRIAL HELD | 06/30/2023,INDICTED ORIGINAL | 01/31/2023,ARRESTED",True,indicted
CR-23-682534-A,2023_cases_comprehensive.csv,"INDICT,2911.02.A(3),ROBBERY,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2925.11.A,""ATTEMPTED, DRUG POSSESSION"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","10/09/2025,PV HELD | 08/06/2025,PV HELD | 09/21/2023,PRETRIAL HELD | 08/30/2023,PRETRIAL HELD | 08/07/2023,PRETRIAL HELD | 07/07/2023,INDICTED BINDOVER | 06/30/2023,CPD EDC SET | 06/29/2023,BINDOVER CIF#CI239570AO | 06/27/2023,ARRESTED",True,indicted
CR-23-682552-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT (PO),NOLLE | INDICT,2903.13.A,""ATTEMPTED, ASSAULT (PO)"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","03/20/2025,PV HELD | 03/27/2024,PRETRIAL HELD | 12/18/2023,PRETRIAL HELD | 11/14/2023,PRETRIAL HELD | 10/31/2023,PRETRIAL HELD | 10/03/2023,PRETRIAL HELD | 09/06/2023,PRETRIAL HELD | 09/05/2023,PRETRIAL HELD | 08/01/2023,PRETRIAL HELD | 07/17/2023,PRETRIAL HELD | 07/07/2023,INDICTED ORIGINAL | 06/27/2023,ARRESTED",True,indicted
CR-23-682603-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT (PEACE OFFICER),PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T","09/25/2023,PRETRIAL HELD | 09/11/2023,PRETRIAL HELD | 08/28/2023,PRETRIAL HELD | 08/14/2023,PRETRIAL HELD | 07/13/2023,INDICTED BINDOVER | 07/03/2023,BINDOVER CIF#CI230467BR | 07/01/2023,ARRESTED",True,indicted
CR-23-682651-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT ( PEACE OFFICER),NOLLE | INDICT,2921.38.B,HARRASSMENT BY INMATE,NOLLE | INDICT,2921.33.B,RESISTING ARREST,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","10/23/2023,PRETRIAL HELD | 10/10/2023,PRETRIAL HELD | 09/26/2023,PRETRIAL HELD | 07/24/2023,INDICTED BINDOVER | 07/03/2023,BINDOVER CIF#CI230435BR | 07/02/2023,ARRESTED",True,indicted
CR-23-682653-A,2023_cases_comprehensive.csv,"INDICT,2921.32.A(1),""ATTEMPTED, OBSTRUCTING JUSTICE"",PLD GLTY- N/C LIO-AMEND @ P/T","09/28/2023,PRETRIAL HELD | 09/11/2023,PRETRIAL HELD | 07/31/2023,PRETRIAL HELD | 07/27/2023,PRETRIAL HELD | 07/19/2023,PRETRIAL HELD | 07/10/2023,INDICTED BINDOVER | 07/01/2023,BINDOVER CIF#CI239595AO | 06/21/2023,ARRESTED",True,indicted
CR-23-682664-A,2023_cases_comprehensive.csv,"INDICT,2907.02.A(2),RAPE,DISM OTHER | INDICT,2907.05.A(1),GROSS SEXUAL IMPOSITION,DISM OTHER | INDICT,2905.01.A(4),KIDNAPPING,DISM OTHER | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER","10/10/2023,CASE DISMISSED | 08/14/2023,PRETRIAL HELD | 08/01/2023,PRETRIAL HELD | 07/13/2023,INDICTED ORIGINAL | 07/02/2023,ARRESTED",True,indicted
CR-23-682709-A,2023_cases_comprehensive.csv,"INDICT,2903.12.A(1),AGGRAVATED ASSAULT,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2909.06.A(1),CRIMINAL DAMAGING,PLD GLTY- N/C - IND @ P/T | INDICT,2921.331.B,""FAILURE TO COMPLY WITH ORDER,SIGNAL OF POLICE OFFICER"",NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","10/16/2023,PRETRIAL HELD | 10/02/2023,PRETRIAL HELD | 09/19/2023,PRETRIAL HELD | 09/06/2023,PRETRIAL HELD | 08/29/2023,PRETRIAL HELD | 08/15/2023,PRETRIAL HELD | 07/13/2023,INDICTED ORIGINAL | 07/04/2023,ARRESTED",True,indicted
