case_number,source_file,charges,events,likely_felony,reason
CR-23-677927-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT (PEACE OFFICER),PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.13.A,ASSAULT (PEACE OFFICER),NOLLE | INDICT,2919.25.A,DOMESTIC VIOLENCE (PC),PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,NOLLE","05/01/2024,PV HELD | 09/06/2023,PV HELD | 06/12/2023,PRETRIAL HELD | 02/07/2023,PRETRIAL HELD | 01/27/2023,INDICTED BINDOVER | 01/24/2023,FIRST APPEARANCE | 01/23/2023,CPD EDC SET | 01/21/2023,BINDOVER CIF#CI237731AO | 01/19/2023,ARRESTED",True,indicted
CR-23-677931-A,2023_cases_comprehensive.csv,"INDICT,2925.03.A(2),TRAFFICKING OFFENSE,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2925.03.A(2),TRAFFICKING OFFENSE,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2925.03.A(2),TRAFFICKING OFFENSE,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDICT,2925.03.A(2),TRAFFICKING OFFENSE,DISM OTHER | INDICT,2925.11.A,DRUG POSSESSION,DISM OTHER | INDI","01/28/2025,CASE DISMISSED | 10/26/2023,PRETRIAL HELD | 10/10/2023,PRETRIAL HELD | 03/30/2023,PRETRIAL HELD | 03/17/2023,PRETRIAL HELD | 02/03/2023,INDICTED BINDOVER | 01/24/2023,FIRST APPEARANCE | 01/23/2023,CPD EDC SET | 01/21/2023,BINDOVER CIF#CI237718AO | 01/19/2023,ARRESTED",True,indicted
CR-23-677943-A,2023_cases_comprehensive.csv,"INDICT,2923.13.A(2),""ATTEMPTED, HAVING WEAPONS WHILE UNDER DISABILITY"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.13.A(3),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2923.12.A(2),CARRYING CONCEALED WEAPONS,NOLLE | INDICT,2923.16.B,IMPROPERLY HANDLING FIREARMS IN A MOTOR VEHICLE,NOLLE | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T","01/30/2023,INDICTED ORIGINAL",True,indicted
CR-23-677955-A,2023_cases_comprehensive.csv,"INDICT,2911.01.A(1),AGGRAVATED ROBBERY,PLD GLTY- N/C - IND @ P/T | INDICT,2911.01.A(3),AGGRAVATED ROBBERY,NOLLE | INDICT,2911.02.A(1),ROBBERY,NOLLE | INDICT,2911.02.A(2),ROBBERY,NOLLE | INDICT,2911.02.A(3),ROBBERY,NOLLE | INDICT,2903.11.A(1),FELONIOUS ASSAULT,PLD GLTY- N/C - IND @ P/T | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2903.08.A(2)(B),AGGRAVATED VEHICULAR ASSAULT; VEHICULAR ASS","03/27/2023,PRETRIAL HELD | 03/02/2023,PRETRIAL HELD | 02/09/2023,PRETRIAL HELD | 01/27/2023,INDICTED BINDOVER | 01/24/2023,FIRST APPEARANCE | 01/23/2023,CPD EDC SET | 01/23/2023,BINDOVER CIF#CI237743AO | 01/20/2023,ARRESTED",True,indicted
CR-23-677962-A,2023_cases_comprehensive.csv,"INDICT,2921.38.B,HARRASSMENT BY INMATE,NOLLE | INDICT,2921.31.A,""ATTEMPTED, OBSTRUCTING OFFICIAL BUSINESS"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2921.33.A,RESISTING ARREST,PLD GLTY- N/C - IND @ P/T | INDICT,4511.19.A(1)(A),DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL OR DRUGS,NOLLE | INDICT,4511.19.A(1)(F),DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL OR DRUGS,PLD GLTY- N/C - IND @ P/T","06/07/2023,PRETRIAL HELD | 05/22/2023,PRETRIAL HELD | 05/04/2023,PRETRIAL HELD | 04/20/2023,PRETRIAL HELD | 04/06/2023,PRETRIAL HELD | 03/14/2023,INDICTED BINDOVER | 01/17/2023,BINDOVER CIF#CI234504BQ | 01/15/2023,ARRESTED",True,indicted
CR-23-678001-A,2023_cases_comprehensive.csv,"INDICT,2919.25.A,DOMESTIC VIOLENCE (PC),DISM OTHER | INDICT,2919.25.A,DOMESTIC VIOLENCE (PC),DISM OTHER | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER","04/05/2023,CASE DISMISSED | 03/03/2023,PRETRIAL HELD | 02/22/2023,PRETRIAL HELD | 02/06/2023,PRETRIAL HELD | 01/25/2023,INDICTED ORIGINAL | 01/20/2023,ARRESTED",True,indicted
CR-23-678022-A,2023_cases_comprehensive.csv,"INDICT,2923.12,""ATTEMPTED, CARRYING CONCEALED WEAPONS"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,NOLLE | INDICT,2921.31,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C LIO-AMEND @ P/T","08/15/2024,PV HELD | 10/26/2023,PV HELD | 07/27/2023,PRETRIAL HELD | 07/25/2023,PRETRIAL HELD | 07/11/2023,PRETRIAL HELD | 06/29/2023,PRETRIAL HELD | 06/12/2023,PRETRIAL HELD | 01/25/2023,INDICTED ORIGINAL",True,indicted
CR-23-678066-A,2023_cases_comprehensive.csv,"INDICT,2913.51.A,RSP - MV,PLD GLTY- N/C - IND @ P/T | INDICT,2909.06.A(1),CRIMINAL DAMAGING,NOLLE | INDICT,2913.02.A(1),ATTEMPTED GRAND THEFT - MV,PLD GLTY- N/C - IND @ P/T | INDICT,2909.06.A(1),CRIMINAL DAMAGING,NOLLE | INDICT,2913.02.A(1),ATTEMPTED GRAND THEFT - MV,NOLLE | INDICT,2909.06.A(1),CRIMINAL DAMAGING,NOLLE | INDICT,2911.13.A,BREAKING AND ENTERING,PLD GLTY- N/C - IND @ P/T | INDICT,2921","10/25/2023,PRETRIAL HELD | 10/04/2023,PRETRIAL HELD | 09/19/2023,PRETRIAL HELD | 08/30/2023,PRETRIAL HELD | 08/03/2023,PRETRIAL HELD | 07/12/2023,PRETRIAL HELD | 06/29/2023,PRETRIAL HELD | 06/22/2023,PRETRIAL HELD | 06/07/2023,PRETRIAL HELD | 05/24/2023,PRETRIAL HELD | 05/09/2023,PRETRIAL HELD | 04/26/2023,PRETRIAL HELD | 04/13/2023,PRETRIAL HELD | 03/30/2023,PRETRIAL HELD | 03/15/2023,PRETRIAL HE",True,indicted
CR-23-678128-A,2023_cases_comprehensive.csv,"INDICT,2909.04.A(3),DISRUPTING PUBLIC SERVICE,PLD GLTY- N/C - IND @ P/T | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,PLD GLTY- N/C - IND @ P/T | INDICT,2903.21.A,AGGRAVATED MENACING,PLD GLTY- N/C - IND @ P/T","07/09/2025,PV HELD | 10/28/2024,PV HELD | 08/14/2024,PV HELD | 08/30/2023,PRETRIAL HELD | 08/10/2023,PRETRIAL HELD | 07/25/2023,PRETRIAL HELD | 07/10/2023,PRETRIAL HELD | 06/15/2023,PRETRIAL HELD | 05/30/2023,PRETRIAL HELD | 05/01/2023,PRETRIAL HELD | 04/10/2023,PRETRIAL HELD | 03/20/2023,PRETRIAL HELD | 02/14/2023,INDICTED BINDOVER | 01/27/2023,BINDOVER CIF#CI237812AO | 01/25/2023,ARRESTED",True,indicted
CR-23-678136-A,2023_cases_comprehensive.csv,"INDICT,2903.13.A,ASSAULT (PEACE OFFICER),DISM OTHER | INDICT,2921.31.A,OBSTRUCTING OFFICIAL BUSINESS,DISM OTHER","07/24/2023,CASE DISMISSED | 06/22/2023,PRETRIAL HELD | 06/08/2023,PRETRIAL HELD | 05/04/2023,PRETRIAL HELD | 03/22/2023,PRETRIAL HELD | 03/09/2023,PRETRIAL HELD | 02/02/2023,INDICTED ORIGINAL | 01/25/2023,ARRESTED",True,indicted
