case_number,source_file,charges,events
CR-23-677583-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2917.21.A(3),TELECOMMUNICATIONS HARASSMENT,PLD GLTY- N/C - IND @ P/T | INDICT,2913.02.A(1),THEFT; AGGRAVATED THEFT,PLD GLTY- N/C - IND @ P/T","01/11/2023,INDICTED ORIGINAL"
CR-23-677589-A,2023_cases_comprehensive.csv,"INDICT,2911.11.A(1),AGGRAVATED BURGLARY,NOLLE | INDICT,2903.11.A(1),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2909.04.A(1),DISRUPTING PUBLIC SERVICE,NOLLE | INDICT,2909.06.A(1),CRIMINAL DAMAGING,PLD GLTY- N/C - IND @ P/T","06/13/2023,PRETRIAL HELD | 04/25/2023,PRETRIAL HELD | 04/19/2023,PRETRIAL HELD | 04/05/2023,PRETRIAL HELD | 03/22/2023,PRETRIAL HELD | 03/08/2023,PRETRIAL HELD | 02/23/2023,PRETRIAL HELD | 01/19/2023,INDICTED BINDOVER | 01/11/2023,BINDOVER CIF#CI237084AO | 01/09/2023,ARRESTED"
CR-23-677606-A,2023_cases_comprehensive.csv,"INDICT,2903.11,FELONIOUS ASSAULT,OTHER TERMIN.","05/08/2023,CASE CLOSED | 01/11/2023,BINDOVER CIF#CI234104BQ | 01/10/2023,ARRESTED"
CR-23-677607-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER","03/12/2024,CASE DISMISSED | 10/12/2023,PRETRIAL HELD | 10/02/2023,PRETRIAL HELD | 08/29/2023,PRETRIAL HELD | 08/28/2023,PRETRIAL HELD | 08/24/2023,PRETRIAL HELD | 08/17/2023,PRETRIAL HELD | 08/10/2023,PRETRIAL HELD | 08/02/2023,PRETRIAL HELD | 04/04/2023,PRETRIAL HELD | 02/27/2023,PRETRIAL HELD | 02/15/2023,PRETRIAL HELD | 01/18/2023,INDICTED BINDOVER | 01/11/2023,BINDOVER CIF#CI234082BQ | 01/09/2"
CR-23-677611-A,2023_cases_comprehensive.csv,"INDICT,2903.11,FELONIOUS ASSAULT,OTHER TERMIN.","02/09/2023,CASE CLOSED | 01/17/2023,FIRST APPEARANCE | 01/13/2023,CPD EDC SET | 01/12/2023,BINDOVER CIF#CI234014BQ | 01/09/2023,ARRESTED"
CR-23-677617-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER | INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER | INDICT,2919.25.A,DOMESTIC VIOLENCE,DISM OTHER","03/27/2024,CASE DISMISSED | 01/10/2024,PRETRIAL HELD | 11/29/2023,PRETRIAL HELD | 11/02/2023,PRETRIAL HELD | 10/24/2023,PRETRIAL HELD | 10/02/2023,PRETRIAL HELD | 08/29/2023,PRETRIAL HELD | 08/03/2023,PRETRIAL HELD | 01/24/2023,INDICTED ORIGINAL | 12/29/2022,ARRESTED"
CR-23-677626-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),FELONIOUS ASSAULT,DISM OTHER","06/06/2023,CASE DISMISSED | 04/05/2023,PRETRIAL HELD | 03/20/2023,PRETRIAL HELD | 01/23/2023,INDICTED ORIGINAL"
CR-23-677645-A,2023_cases_comprehensive.csv,"INDICT,2903.11,FELONIOUS ASSAULT,OTHER TERMIN.","01/30/2023,CASE CLOSED | 01/12/2023,BINDOVER CIF#CI237571AO | 01/10/2023,ARRESTED"
CR-23-677656-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2919.25.A,DOMESTIC VIOLENCE,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C - IND @ P/T | INDICT,2913.02.A(1),""ATTEMPTED, GRAND THEFT"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2919.22.A,ENDANGERING CHILDREN (PC),NOLLE | INDICT,2919.22.A,ENDANGERING CHILDREN (PC),NOLLE | INDICT,2903.21.A,AGGRA","07/24/2025,PRETRIAL HELD | 07/15/2025,PRETRIAL HELD | 06/30/2025,PRETRIAL HELD | 02/01/2023,INDICTED ORIGINAL"
CR-23-677657-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2919.25.A,DOMESTIC VIOLENCE,PLD GLTY- N/C - IND @ P/T","03/16/2023,PRETRIAL HELD | 02/28/2023,PRETRIAL HELD | 01/25/2023,INDICTED BINDOVER | 01/17/2023,FIRST APPEARANCE | 01/13/2023,CPD EDC SET | 01/12/2023,BINDOVER CIF#CI234080BQ | 01/11/2023,ARRESTED"
